Match ID	taxonomy	annotation ID	ype	distance	relation	product
XM_022499281.1/495-565(+)	391180	XM_022499281.1:1..4378	region	0	inside s494	['mRNA']
XM_022499281.1/495-565(+)	391180	gene-LOC111144800	gene	0	inside s494	None
XM_022499281.1/495-565(+)	391180	cds-XP_022354989.1	CDS	493	near	['AP-3 complex subunit mu-1 isoform X1']

XM_022499285.1/495-565(+)	391180	XM_022499285.1:1..4216	region	0	inside s494	['mRNA']
XM_022499285.1/495-565(+)	391180	gene-LOC111144800	gene	0	inside s494	None
XM_022499285.1/495-565(+)	391180	cds-XP_022354993.1	CDS	493	near	['AP-3 complex subunit mu-1 isoform X3']

NG_029165.1/60610-60680(+)	9606	NG_029165.1:1..68983	region	0	inside e8303	['genomic DNA']
NG_029165.1/60610-60680(+)	9606	gene-CTNNBIP1	gene	0	inside e6303	None
NG_029165.1/60610-60680(+)	9606	rna-NM_020248.2	mRNA	0	inside e6303	['catenin beta interacting protein 1, transcript variant 1']
NG_029165.1/60610-60680(+)	9606	cds-NP_064633.1-3	CDS	3803	near	['beta-catenin-interacting protein 1']
NG_029165.1/60610-60680(+)	9606	id-CTNNBIP1-6	exon	3803	near	None
NG_029165.1/60610-60680(+)	9606	exon-NM_020248.2-6	exon	3803	near	['catenin beta interacting protein 1, transcript variant 1']
NG_029165.1/60610-60680(+)	9606	aln0-5	cDNA_match	3803	near	None
NG_029165.1/60610-60680(+)	9606	aln1-6	cDNA_match	3803	near	None
NG_029165.1/60610-60680(+)	9606	aln2-6	cDNA_match	3803	near	None
NG_029165.1/60610-60680(+)	9606	id-CTNNBIP1-7	STS	4292	near	None

NG_012921.1/34316-34386(+)	9606	NG_012921.1:1..40038	region	0	inside e5652	['genomic DNA']
NG_012921.1/34316-34386(+)	9606	gene-BPGM	gene	0	inside e3652	None
NG_012921.1/34316-34386(+)	9606	rna-NM_199186.2	mRNA	0	inside e3652	['bisphosphoglycerate mutase, transcript variant 2']
NG_012921.1/34316-34386(+)	9606	cds-NP_954655.1-2	CDS	2689	near	['bisphosphoglycerate mutase']
NG_012921.1/34316-34386(+)	9606	id-BPGM-4	exon	2689	near	None
NG_012921.1/34316-34386(+)	9606	exon-NM_199186.2-4	exon	2689	near	['bisphosphoglycerate mutase, transcript variant 2']
NG_012921.1/34316-34386(+)	9606	aln0-4	cDNA_match	2689	near	None
NG_012921.1/34316-34386(+)	9606	aln1-4	cDNA_match	2689	near	None
NG_012921.1/34316-34386(+)	9606	aln2-3	cDNA_match	2689	near	None
NG_012921.1/34316-34386(+)	9606	id-BPGM-11	STS	3073	near	None
