Match ID	taxonomy	annotation ID	ype	distance	relation	product

XM_021378898.1/6068-6132(+)	8996	XM_021378898.1:1..7193	region	0	inside e1061	['mRNA']
XM_021378898.1/6068-6132(+)	8996	gene-MYO9B	gene	0	inside e1061	None
XM_021378898.1/6068-6132(+)	8996	cds-XP_021234573.1	CDS	0	inside e739	['unconventional myosin-IXb isoform X1']

XM_021378899.1/6296-6360(+)	8996	XM_021378899.1:1..7421	region	0	inside e1061	['mRNA']
XM_021378899.1/6296-6360(+)	8996	gene-MYO9B	gene	0	inside e1061	None
XM_021378899.1/6296-6360(+)	8996	cds-XP_021234574.1	CDS	0	inside e739	['unconventional myosin-IXb isoform X1']

XM_021378900.1/5938-6002(+)	8996	XM_021378900.1:1..7063	region	0	inside e1061	['mRNA']
XM_021378900.1/5938-6002(+)	8996	gene-MYO9B	gene	0	inside e1061	None
XM_021378900.1/5938-6002(+)	8996	cds-XP_021234575.1	CDS	0	inside e739	['unconventional myosin-IXb isoform X1']

XM_021378901.1/6068-6132(+)	8996	XM_021378901.1:1..7175	region	0	inside e1043	['mRNA']
XM_021378901.1/6068-6132(+)	8996	gene-MYO9B	gene	0	inside e1043	None
XM_021378901.1/6068-6132(+)	8996	cds-XP_021234576.1	CDS	0	inside e721	['unconventional myosin-IXb isoform X2']

XM_021378903.1/5978-6042(+)	8996	XM_021378903.1:1..7103	region	0	inside e1061	['mRNA']
XM_021378903.1/5978-6042(+)	8996	gene-MYO9B	gene	0	inside e1061	None
XM_021378903.1/5978-6042(+)	8996	cds-XP_021234578.1	CDS	0	inside e739	['unconventional myosin-IXb isoform X4']

XM_021378905.1/5957-6021(+)	8996	XM_021378905.1:1..7082	region	0	inside e1061	['mRNA']
XM_021378905.1/5957-6021(+)	8996	gene-MYO9B	gene	0	inside e1061	None
XM_021378905.1/5957-6021(+)	8996	cds-XP_021234580.1	CDS	0	inside e739	['unconventional myosin-IXb isoform X5']

XM_021378907.1/5867-5931(+)	8996	XM_021378907.1:1..6992	region	0	inside e1061	['mRNA']
XM_021378907.1/5867-5931(+)	8996	gene-MYO9B	gene	0	inside e1061	None
XM_021378907.1/5867-5931(+)	8996	cds-XP_021234582.1	CDS	0	inside e739	['unconventional myosin-IXb isoform X7']

XM_021378908.1/6068-6132(+)	8996	XM_021378908.1:1..6599	region	0	inside e467	['mRNA']
XM_021378908.1/6068-6132(+)	8996	gene-MYO9B	gene	0	inside e467	None
XM_021378908.1/6068-6132(+)	8996	cds-XP_021234583.1	CDS	0	inside e319	['unconventional myosin-IXb isoform X8']

XM_021378909.1/6068-6132(+)	8996	XM_021378909.1:1..6559	region	0	inside e427	['mRNA']
XM_021378909.1/6068-6132(+)	8996	gene-MYO9B	gene	0	inside e427	None
XM_021378909.1/6068-6132(+)	8996	cds-XP_021234584.1	CDS	0	inside e286	['unconventional myosin-IXb isoform X9']

XM_021378910.1/6068-6132(+)	8996	XM_021378910.1:1..6552	region	0	inside e420	['mRNA']
