Match ID	taxonomy	annotation ID	ype	distance	relation	product
X73532.1/3367-3429(+)	4932	X73532.1:1..4848	region	0	inside e1419	['genomic DNA']
X73532.1/3367-3429(+)	4932	gene-TKL2	gene	0	inside e1419	None
X73532.1/3367-3429(+)	4932	cds-CAA51937.1	CDS	0	inside e563	['transketolase']
X73532.1/3367-3429(+)	4932	id-TKL2	sequence_feature	0	inside e1419	None
X73532.1/3367-3429(+)	4932	id-TKL2-2	TATA_box	-1556	near	None
X73532.1/3367-3429(+)	4932	gene-LYS2	gene	1029	near	None
X73532.1/3367-3429(+)	4932	cds-CAA51938.1	CDS	1029	near	['CAA51938.1']

FN393060.2/447892-447830(-)	643680	gene-EC1118_1B15_2641g	gene	1026	near	None
FN393060.2/447892-447830(-)	643680	cds-CBK39188.1	CDS	1026	near	['Lys2p']
FN393060.2/447892-447830(-)	643680	gene-EC1118_1B15_2652g	pseudogene	229	near	None
FN393060.2/447892-447830(-)	643680	gene-EC1118_1B15_2663g	gene	0	inside s563	None
FN393060.2/447892-447830(-)	643680	cds-CBK39189.1	CDS	0	inside s563	['Tkl2p']

NM_001178465.3/1421-1483(+)	559292	NM_001178465.3:1..2046	region	0	inside e563	['mRNA']
NM_001178465.3/1421-1483(+)	559292	gene-YBR117C	gene	0	inside e563	None
NM_001178465.3/1421-1483(+)	559292	cds-NP_009675.3	CDS	0	inside e563	['transketolase TKL2']

CP004569.1/450040-449978(-)	1294366	gene-H814_YJM1415B00225	gene	1027	near	None
CP004569.1/450040-449978(-)	1294366	rna-gnl|McCuskerlabDuke|mrna.H814_YJM1415B00225	mRNA	1027	near	['Lys2p']
CP004569.1/450040-449978(-)	1294366	exon-gnl|McCuskerlabDuke|mrna.H814_YJM1415B00225-1	exon	1027	near	['Lys2p']
CP004569.1/450040-449978(-)	1294366	cds-AJP82479.1	CDS	1027	near	['Lys2p']
CP004569.1/450040-449978(-)	1294366	gene-H814_YJM1415B00226	gene	0	inside s563	None
CP004569.1/450040-449978(-)	1294366	rna-gnl|McCuskerlabDuke|mrna.H814_YJM1415B00226	mRNA	0	inside s563	['Tkl2p']
CP004569.1/450040-449978(-)	1294366	exon-gnl|McCuskerlabDuke|mrna.H814_YJM1415B00226-1	exon	0	inside s563	['Tkl2p']
